1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+VERB
817 NONTERMINAL WHNP+PRON
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
17 NONTERMINAL X
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
114 NONTERMINAL NP+PRON
301 NONTERMINAL WHADVP+ADV
1 NONTERMINAL PP+NOUN
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
24 NONTERMINAL WHPP
1 NONTERMINAL WHNP+WHNP
14 NONTERMINAL ADVP
2032 NONTERMINAL .
1 NONTERMINAL NX
280 NONTERMINAL PRT
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
1 NONTERMINAL NP+SBAR+S
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
3405 NONTERMINAL SBARQ
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
1 NONTERMINAL SBAR+VP
656 NONTERMINAL NP+NOUN
2 NONTERMINAL NP+QP
916 NONTERMINAL ADJ
23 NONTERMINAL WHNP+DET
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
85 NONTERMINAL S
124 NONTERMINAL WHADJP
569 NONTERMINAL WHNP
73 NONTERMINAL PRON
90 NONTERMINAL S+VP
1 NONTERMINAL VP+S+VP
2 NONTERMINAL ADVP+ADJ
113 NONTERMINAL PP+ADP
10 UNARYRULE . _RARE_
22 UNARYRULE ADJ American
6 UNARYRULE VERB live
25 UNARYRULE ADP as
5 UNARYRULE ADVP+ADV first
5 UNARYRULE NOUN Vietnam
653 UNARYRULE WHNP+PRON What
9 UNARYRULE ADJ national
9 UNARYRULE ADV much
6 UNARYRULE NOUN flight
70 UNARYRULE WHADVP+ADV How
17 UNARYRULE PP+ADP of
8 UNARYRULE ADP between
5 UNARYRULE VERB said
16 UNARYRULE NOUN United
7 UNARYRULE NOUN term
6 UNARYRULE NOUN horse
7 UNARYRULE NOUN abbreviation
5 UNARYRULE VERB win
5 UNARYRULE NP+NOUN president
10 UNARYRULE VERB take
7 UNARYRULE NOUN war
390 UNARYRULE DET What
13 UNARYRULE NOUN people
247 UNARYRULE VERB was
5 UNARYRULE VERB been
14 UNARYRULE NOUN color
6 UNARYRULE VERB founded
5 UNARYRULE VP+VERB located
5 UNARYRULE DET some
28 UNARYRULE DET Which
7 UNARYRULE NOUN home
6 UNARYRULE VERB use
14 UNARYRULE VERB used
7 UNARYRULE NOUN York
17 UNARYRULE ADP In
50 UNARYRULE NP+NUM _RARE_
6 UNARYRULE NOUN George
18 UNARYRULE WHNP+DET that
6 UNARYRULE NOUN West
9 UNARYRULE ADJ highest
14 UNARYRULE VERB called
1084 UNARYRULE DET the
69 UNARYRULE ADP on
18 UNARYRULE DET _RARE_
14 UNARYRULE ADP at
5 UNARYRULE ADJ common
6 UNARYRULE ADJ different
42 UNARYRULE NOUN year
8 UNARYRULE NOUN character
76 UNARYRULE NUM _RARE_
18 UNARYRULE VERB made
13 UNARYRULE VERB have
5 UNARYRULE NOUN Lincoln
39 UNARYRULE ADP _RARE_
6 UNARYRULE NP+NOUN Alaska
12 UNARYRULE VERB come
5 UNARYRULE VERB located
8 UNARYRULE NOUN St.
11 UNARYRULE NOUN word
5 UNARYRULE ADJ last
8 UNARYRULE ADJ famous
6 UNARYRULE NOUN language
7 UNARYRULE PRON your
